Efternavne, 1. januar 2025
(kun navne med tre eller flere forekomster)

Navn	ANTAL

NIELSEN	225910
JENSEN	222526
HANSEN	188956
ANDERSEN	145389
PEDERSEN	142991
CHRISTENSEN	108120
LARSEN	103614
SØRENSEN	98904
RASMUSSEN	85241
JØRGENSEN	79089
PETERSEN	69716
MADSEN	58891
KRISTENSEN	56312
OLSEN	43171
THOMSEN	37653
CHRISTIANSEN	34131
POULSEN	29724
JOHANSEN	29187
MØLLER	29073
MORTENSEN	27387
JAKOBSEN	27206
KNUDSEN	26930
JACOBSEN	23023
MIKKELSEN	21986
OLESEN	21055
FREDERIKSEN	18937
LAURSEN	17516
LUND	17330
HENRIKSEN	16214
HOLM	16213
SCHMIDT	15709
ERIKSEN	14275
KRISTIANSEN	13031
SIMONSEN	12841
CLAUSEN	12354
ANDREASEN	11005
ØSTERGAARD	10969
SVENDSEN	10934
IVERSEN	10171
VESTERGAARD	9978
KJÆR	9562
NØRGAARD	9497
JEPPESEN	9367
NISSEN	9144
LAURIDSEN	8879
MOGENSEN	8543
SØNDERGAARD	8533
JESPERSEN	8498
JEPSEN	8281
FRANDSEN	8264
DAHL	8155
SKOV	8001
JESSEN	7536
BERTELSEN	7024
CARLSEN	6750
BRUUN	6660
BACH	6631
WINTHER	6437
FRIIS	6311
LASSEN	6001
CHRISTOFFERSEN	5997
GREGERSEN	5962
ALI	5826
KROGH	5360
BECH	5269
JOHNSEN	5165
RAVN	5136
KJELDSEN	5045
TOFT	5032
NGUYEN	4867
STEFFENSEN	4820
BRANDT	4759
DANIELSEN	4615
LIND	4604
HOLST	4596
LAURITSEN	4548
OVERGAARD	4485
BERG	4432
NYGAARD	4415
DAMGAARD	4392
DAM	4304
ANDRESEN	4292
SOMMER	4241
SØGAARD	4215
MATHIESEN	4202
BAK	4200
HEDEGAARD	4114
BJERREGAARD	4107
BANG	4017
KRUSE	3911
JUUL	3879
AHMED	3854
SCHULTZ	3836
SCHOU	3824
THORSEN	3727
NILSSON	3712
HALD	3685
AAGAARD	3660
JUHL	3622
KJÆRGAARD	3604
MATHIASEN	3566
THYGESEN	3559
KARLSEN	3524
RIIS	3521
VILLADSEN	3516
LORENZEN	3494
KRISTOFFERSEN	3469
MUNK	3468
HERMANSEN	3467
KOCH	3442
LORENTZEN	3357
KLAUSEN	3336
BUNDGAARD	3313
LANGE	3296
PAULSEN	3283
DAVIDSEN	3261
VINTHER	3238
BECK	3202
HJORTH	3152
BONDE	3115
BJERRE	3100
DALSGAARD	3063
SVENSSON	3044
JUSTESEN	3029
FISCHER	3027
LAURITZEN	3021
MEYER	3021
JOHANNSEN	2960
KIRKEGAARD	2947
GADE	2939
KHAN	2866
BENDTSEN	2820
FROST	2787
KOFOED	2757
ESKILDSEN	2747
ANDERSSON	2719
HASSAN	2680
HOFFMANN	2658
HOUGAARD	2654
ENEVOLDSEN	2646
AHMAD	2644
IBSEN	2643
CARSTENSEN	2621
JOHANNESEN	2582
SCHRØDER	2541
ASMUSSEN	2473
MØLGAARD	2463
HEMMINGSEN	2461
DALGAARD	2458
KRAGH	2443
STORM	2441
BERTHELSEN	2438
THØGERSEN	2427
MICHELSEN	2425
PERSSON	2419
ANDREASSEN	2383
MOHAMED	2364
BISGAARD	2341
SKOVGAARD	2320
THOMASSEN	2287
LINDBERG	2265
JOHANSSON	2254
MÜLLER	2230
MARKUSSEN	2202
HENNINGSEN	2191
MUNCH	2170
LETH	2168
BRODERSEN	2157
BUCH	2144
LAUSTSEN	2133
SLOTH	2125
FISKER	2099
KROG	2097
NIKOLAJSEN	2085
OLSSON	2084
GRAVERSEN	2006
CLEMMENSEN	1994
WESTERGAARD	1984
LAUGESEN	1973
JØNSSON	1971
SMITH	1963
DUE	1959
BENDIXEN	1951
MARCUSSEN	1947
THORUP	1944
KJÆRSGAARD	1934
KORSGAARD	1917
IPSEN	1902
HUSSAIN	1900
GREVE	1894
EBBESEN	1890
RASK	1881
HUSSEIN	1875
FUGLSANG	1873
WAGNER	1872
HAUGAARD	1870
THERKILDSEN	1860
BJERG	1850
SVENNINGSEN	1848
DAMSGAARD	1845
ALBERTSEN	1841
NEDERGAARD	1841
RAHBEK	1839
BAY	1823
HØJ	1804
LUDVIGSEN	1789
BUHL	1782
OTTOSEN	1776
BORUP	1768
OTTESEN	1763
GRAM	1755
KIRK	1755
IBRAHIM	1749
MICHAELSEN	1747
TRAN	1744
AXELSEN	1725
HAMMER	1725
VILHELMSEN	1724
LYKKE	1718
THUESEN	1692
HARTMANN	1685
MATTHIESEN	1682
DINESEN	1680
VILLUMSEN	1674
DAUGAARD	1671
BENTSEN	1669
ERICHSEN	1668
THRANE	1667
FRANK	1649
FABRICIUS	1647
ISAKSEN	1645
BENTZEN	1635
HØGH	1635
ALBRECHTSEN	1625
WULFF	1624
NICOLAISEN	1619
STORGAARD	1618
KOFOD	1609
BOESEN	1599
ROHDE	1590
BRIX	1587
HJORT	1587
ABILDGAARD	1581
ELKJÆR	1577
MAGNUSSEN	1575
MOURITSEN	1575
SAND	1568
HØJGAARD	1564
POVLSEN	1564
SONNE	1560
BRUHN	1556
JOHANNESSEN	1543
GRAVESEN	1536
BJØRN	1534
MOHAMMAD	1531
BIRCH	1530
PIHL	1520
SINGH	1516
TORP	1509
SVANE	1507
BÆK	1500
HVIID	1471
PALLESEN	1469
LADEFOGED	1465
CALLESEN	1453
THOMASEN	1447
BIRK	1441
BOYSEN	1439
LARSSON	1439
BORG	1438
MØRCH	1438
CHRISTOPHERSEN	1427
BLOCH	1426
HØYER	1423
LYNGE	1419
STOKHOLM	1418
ROSENBERG	1414
KVIST	1405
DALL	1401
OVESEN	1400
ANTONSEN	1389
WANG	1383
MELDGAARD	1382
BRØNDUM	1377
NØRREGAARD	1377
DUUS	1375
ESPERSEN	1373
KLITGAARD	1373
RØMER	1373
BRINK	1366
SKAARUP	1365
HOLMGAARD	1361
ABRAHAMSEN	1360
MØRK	1360
BUSK	1357
VESTER	1350
KRONBORG	1345
OSMAN	1338
HVID	1337
DEGN	1324
SKOU	1322
STEEN	1321
PILGAARD	1308
LE	1306
KARLSSON	1296
DITLEVSEN	1288
FALK	1277
SKRIVER	1269
SKYTTE	1264
GRØN	1260
PHILIPSEN	1256
SMIDT	1254
MOHAMAD	1246
GREEN	1245
DAMM	1242
YILMAZ	1237
LEHMANN	1234
TROELSEN	1231
BROGAARD	1230
HAUGE	1216
GAMMELGAARD	1208
WEBER	1203
TRUELSEN	1201
JANSEN	1196
LUNDSGAARD	1190
JOENSEN	1189
CHEN	1187
WIND	1183
BAGGER	1180
KILIC	1180
MARTINSEN	1179
ADAMSEN	1176
KRARUP	1166
