Fornavne til kvinder, 1. januar 2025
(kun navne med tre eller flere forekomster)

Navn	ANTAL

ANNE	43397
METTE	38023
KIRSTEN	35484
HANNE	35124
ANNA	33432
HELLE	32916
MARIA	30291
SUSANNE	29895
LENE	29556
MARIANNE	25815
CAMILLA	24502
LONE	24151
LOUISE	23852
CHARLOTTE	23488
PIA	23487
TINA	22930
GITTE	22514
IDA	22257
EMMA	22134
JULIE	21913
JETTE	21610
BENTE	20926
RIKKE	20791
KAREN	20153
INGE	19551
SOFIE	19468
LAURA	19180
CHRISTINA	18553
MARIE	18201
PERNILLE	18103
LINE	17081
BIRGIT	16769
HEIDI	16139
ANNETTE	16117
ULLA	15569
CECILIE	15232
BIRTHE	15013
ANETTE	14915
INGER	14774
EVA	14655
DORTHE	14157
BIRGITTE	14153
SIGNE	14106
KARIN	13988
MATHILDE	13831
JYTTE	13756
MAJA	13643
ELSE	13642
EMILIE	13366
LISBETH	13230
TRINE	13106
SARA	13066
LIS	12861
NANNA	12811
KATRINE	12457
CAROLINE	12441
FREJA	12337
DORTE	11979
TOVE	11925
ELLEN	11781
KARINA	11659
STINE	11557
SARAH	11311
MALENE	11056
VIBEKE	10676
LÆRKE	10669
LISE	10639
JANE	10555
ANJA	10391
MIA	10383
ISABELLA	10337
BODIL	10081
CLARA	9802
LINDA	9703
JOSEFINE	9272
AMALIE	9268
NINA	9146
GRETHE	9080
ASTRID	9012
ALBERTE	8994
ELLA	8364
FRIDA	8276
INGRID	8273
ALMA	8179
OLIVIA	8116
HENRIETTE	8103
VICTORIA	8081
LOTTE	8025
MONA	7967
JEANETTE	7756
ANNI	7702
TINE	7666
MILLE	7612
ANITA	7502
JOHANNE	7449
MICHELLE	7297
SOFIA	7260
DITTE	7102
MIE	7075
LEA	6918
SONJA	6769
AGNES	6716
ALICE	6714
AASE	6692
RUTH	6690
SIMONE	6618
LAILA	6431
BETTINA	6398
KRISTINA	6277
ASTA	6255
ANN	6233
ELISABETH	6103
HELENE	6044
JONNA	5987
FREDERIKKE	5983
MARGIT	5980
LIVA	5942
ANDREA	5930
TANJA	5884
BRITTA	5841
SANNE	5777
LENA	5738
ESTHER	5697
LUNA	5697
CONNIE	5669
JOAN	5632
KATHRINE	5581
LISA	5532
MERETE	5465
RITA	5313
