Fornavne til mænd, 1. januar 2025
(kun navne med tre eller flere forekomster)

Navn	ANTAL

PETER	46145
MICHAEL	44161
LARS	42961
THOMAS	41842
JENS	41333
HENRIK	40730
SØREN	38393
CHRISTIAN	37471
MARTIN	36869
JAN	35698
MORTEN	33500
JESPER	33281
ANDERS	33135
MADS	32210
NIELS	31449
RASMUS	30248
MIKKEL	29231
PER	28191
KIM	27975
HANS	26933
OLE	26881
JØRGEN	25940
FREDERIK	24895
ERIK	24258
EMIL	24088
JONAS	23083
JOHN	22917
MATHIAS	22783
DANIEL	21149
CLAUS	20893
SIMON	20816
JACOB	20282
ANDREAS	19971
OLIVER	19839
KASPER	19658
TORBEN	18812
POUL	18466
MAGNUS	18150
FLEMMING	17933
BRIAN	17878
CARSTEN	17523
LASSE	16559
JAKOB	16546
ALLAN	16234
BENT	16142
SEBASTIAN	16029
KRISTIAN	15711
ALEXANDER	15372
TOBIAS	15268
WILLIAM	15230
BJARNE	14483
FINN	14047
KENNETH	13721
HENNING	13460
STEEN	13148
NOAH	12492
BENJAMIN	12335
SVEND	12107
LEIF	11851
CASPER	11597
KURT	11333
DENNIS	11241
VICTOR	11230
JEPPE	11196
MOGENS	11070
LUCAS	10895
BO	10813
KNUD	10736
FRANK	10117
NIKOLAJ	9892
ANTON	9729
NICOLAI	9698
CARL	9625
RENÉ	9488
PREBEN	9177
DAVID	9141
MARCUS	8942
ARNE	8867
KLAUS	8797
KARSTEN	8658
KARL	8514
TOMMY	8503
ELIAS	8483
PATRICK	8468
MALTHE	8371
JOHAN	8269
JOHNNY	8165
GUSTAV	7822
AUGUST	7798
VALDEMAR	7669
JØRN	7619
OSCAR	7619
ALFRED	7485
ADAM	7401
LUKAS	7370
NICKLAS	7305
JOHANNES	7001
KAJ	6935
STEFFEN	6591
ASGER	6562
MARK	6481
JONATHAN	6477
BENNY	6327
DAN	6243
PALLE	6202
BJØRN	6201
CHRISTOFFER	6190
PHILIP	6171
RUNE	6161
AKSEL	6140
